time,q_0,qd_0,sp_0,err_0,integral_0,derivative_0,delta_Kp_0,delta_Ki_0,delta_Kd_0,q_1,qd_1,sp_1,err_1,integral_1,derivative_1,delta_Kp_1,delta_Ki_1,delta_Kd_1,q_2,qd_2,sp_2,err_2,integral_2,derivative_2,delta_Kp_2,delta_Ki_2,delta_Kd_2,q_3,qd_3,sp_3,err_3,integral_3,derivative_3,delta_Kp_3,delta_Ki_3,delta_Kd_3,q_4,qd_4,sp_4,err_4,integral_4,derivative_4,delta_Kp_4,delta_Ki_4,delta_Kd_4,q_5,qd_5,sp_5,err_5,integral_5,derivative_5,delta_Kp_5,delta_Ki_5,delta_Kd_5
1.82,0.33989758151725846,-4.867786978275988,0.5923876491701255,0.2524900676528671,-0.05074470509515722,-0.6433298674404231,50.0,-0.8014282942900415,-10.0,-0.8896346327035672,-6.120266647932352,-0.46040894337938926,0.429225689324178,0.0823709701166088,-0.4781794888895241,50.0,2.3297977117326467,-10.0,-0.08804541825526147,16.54219443624605,-0.0480978849945403,0.03994753326072117,0.044459379690412915,0.8673195380672523,-50.0,-1.8594184416804271,-10.0,0.5767974825749029,-0.6748261045324955,0.5923876491701255,0.01559016659522261,-0.019028400399406446,-0.6433298674404231,31.185033253647184,-0.3910214620156926,-10.0,0.5734532718867688,-0.33241415701824895,0.5923876491701255,0.018934377283356785,-0.017778434937154742,-0.6433298674404231,42.55285336515621,-0.39926749483549234,-10.0,0.5901079874417506,-0.6403109723827957,0.5923876491701255,0.0022796617283749043,-0.008336370261427872,-0.6433298674404231,0.7248642303867581,-0.025111241159181154,-7.443219045726284
1.83,0.2933964924986143,-4.650108901864414,0.5858608056187415,0.2924643131201272,-0.047355051073769514,-0.6526843551383998,50.0,-0.8306229238501772,-10.0,-0.9391116411379323,-4.947700843436509,-0.465027157162993,0.47408448397493935,0.08760658504070183,-0.46182137836037196,50.0,2.902768813344343,-10.0,0.07565472901075265,16.37001472660141,-0.0393943099588037,-0.11504903896955634,0.04167188782805721,0.8703575035736599,50.0,-3.269861344031201,-10.0,0.5702626098604021,-0.6534872714500823,0.5858608056187415,0.015598195758339428,-0.018807069714678045,-0.6526843551383998,31.29523572411665,-0.34627159004734775,-10.0,0.5707612444737004,-0.2692027413068381,0.5858608056187415,0.015099561145041185,-0.017600519051573647,-0.6526843551383998,26.306741919202835,-0.31336586219326557,-10.0,0.5836168156376967,-0.6491171804053846,0.5858608056187415,0.0022439899810448027,-0.008249018643576885,-0.6526843551383998,0.28339702401103084,-0.01265211850866357,-7.409689288908438
1.84,0.24958766202681337,-4.380883047180095,0.5792414478546365,0.3296537858278231,-0.043620424910773274,-0.6619357764105049,50.0,-0.8334920909759886,-10.0,-0.973982609468236,-3.487096833030366,-0.46948014901193874,0.5045024604562973,0.09300031932856785,-0.4452991848945764,50.0,3.2939020994166888,-10.0,0.2244112694923375,14.875654048158484,-0.030665852632543115,-0.2550771221248806,0.03763355120199256,0.8728457326260597,50.0,-4.005512251894504,-10.0,0.5638853631301358,-0.6377246730266312,0.5792414478546365,0.015356084724500674,-0.018589736400130376,-0.6619357764105049,28.69046661759652,-0.3577100886599314,-10.0,0.568102271825215,-0.26589726484853715,0.5792414478546365,0.011139176029421494,-0.01746253756479458,-0.6619357764105049,13.833354410863185,-0.2157064151942562,-10.0,0.5770218734101126,-0.6594942227584165,0.5792414478546365,0.0022195744445239196,-0.008160873476855804,-0.6619357764105049,1.7300129334737189,-0.02685664514930286,-7.489731686609307
1.85,0.20916815484083237,-4.0419507185981,0.5725306211511353,0.3633624663103029,-0.039582605175810436,-0.6710826703501205,50.0,-0.8456139004419662,-10.0,-0.9923782874731606,-1.8395678004924547,-0.47376633679942565,0.518611950673735,0.09837039561535445,-0.4286187787486906,50.0,3.516191823917383,-10.0,0.3465821484971379,12.217087900480042,-0.02191802609648633,-0.3685001745936243,0.03272684066600831,0.8747826536056769,50.0,-4.092358758803205,-10.0,0.5575514290195527,-0.6333934110583164,0.5725306211511353,0.014979192131582608,-0.01837660513770872,-0.6710826703501205,27.902494006231976,-0.32809646858441793,-10.0,0.5649569128144325,-0.3145359010782535,0.5725306211511353,0.007573708336702789,-0.017355346891319727,-0.6710826703501205,5.584195418862756,-0.14335020373723453,-10.0,0.5703486377482336,-0.6673235661878885,0.5725306211511353,0.002181983402901655,-0.008072321286207997,-0.6710826703501205,0.1673910542717275,-0.021291690310067363,-7.425091785750388
1.86,0.17306624554363192,-3.6101909297200447,0.5657293852255688,0.3926631396819369,-0.03529495468601906,-0.6801235925566473,50.0,-0.8180911596969017,-10.0,-0.9935399403171553,-0.11616528439947404,-0.47788419766334167,0.5156557426538136,0.10353856957033253,-0.41178608639159675,50.0,3.5523785522665525,-10.0,0.4331384560961349,8.655630759899696,-0.013156355665369185,-0.4462948117615041,0.0273983294724033,0.8761670431117141,50.0,-3.6454967322196272,-10.0,0.5511435871841408,-0.6407841835411842,0.5657293852255688,0.01458579804142801,-0.01816666873894032,-0.6801235925566473,26.427580154240086,-0.333892079133643,-10.0,0.5609129083422063,-0.40440044722261625,0.5657293852255688,0.004816476883362508,-0.01726674207776384,-0.6801235925566473,2.038727022026092,-0.0761057888205162,-10.0,0.5635690042013353,-0.6779633546898348,0.5657293852255688,0.0021603810242335486,-0.007982921140496679,-0.6801235925566473,-0.0924401899003523,-0.02056452922735864,-7.494436386794883
1.87,0.14239905204227643,-3.06671935013555,0.5588388140719324,0.41643976202965594,-0.030823885130708946,-0.6890571153636449,50.0,-0.7828841328752931,-10.0,-0.9776890200192339,1.5850920297921498,-0.48183226854733036,0.4958567514719035,0.10833862788207235,-0.3948070883988686,50.0,3.4149004455504866,-10.0,0.47811298296446303,4.497452686832816,-0.004386375398028666,-0.4824993583624917,0.0221235906200951,0.8769980267340549,50.0,-2.8607395671380726,-10.0,0.544542235946113,-0.6601351238027847,0.5588388140719324,0.014296578125819415,-0.017957689445301846,-0.6890571153636449,25.349027042998895,-0.3212047030282773,-10.0,0.5556741875780352,-0.5238720764171103,0.5588388140719324,0.003164626493897149,-0.01718270860518316,-0.6890571153636449,0.9325311147907118,-0.07432495171979041,-10.0,0.5567034518781291,-0.686555232320622,0.5588388140719324,0.0021353621938032807,-0.007892911995326584,-0.6890571153636449,-0.0595457340190582,-0.0458410399817116,-7.524670084179306
1.8800000000000001,0.11835671833710792,-2.404233370516851,0.5518599957912886,0.4335032774541807,-0.02624842901911545,-0.6978818280643728,50.0,-0.7262316572774845,-10.0,-0.945815370286216,3.1873649733017873,-0.48560914672060523,0.46020622356561075,0.11262195362039829,-0.3776878173274878,50.0,3.117959968209111,-10.0,0.4789526795711329,0.0839696606669893,0.004386375398028495,-0.4745663041731044,0.01736953061229736,0.877275079605716,50.0,-2.009060411615767,-10.0,0.5376528136679305,-0.6889422278182405,0.5518599957912886,0.014207182123358142,-0.01774672340128644,-0.6978818280643728,26.328475047729256,-0.3087630962567161,-10.0,0.549058456409875,-0.6615731168160159,0.5518599957912886,0.002801539381413587,-0.017088535899687417,-0.6978818280643728,1.9986797590806804,-0.09359286884093378,-10.0,0.549759364887572,-0.6944086990557078,0.5518599957912886,0.0021006309037165938,-0.007802464816383846,-0.6978818280643728,1.3679661984857083,-0.007491279619606064,-7.474029810978722
1.8900000000000001,0.10203893691835154,-1.6317781418756383,0.5447940324199455,0.442755095501594,-0.021657700249911944,-0.7065963371343131,50.0,-0.5977823032873402,-10.0,-0.8994729991388841,4.634237114733186,-0.4892134902763353,0.4102595088625488,0.11626112499755045,-0.3604343555730083,50.0,2.675728315041648,-10.0,0.43670568766353146,-4.224699190760144,0.013156355665369322,-0.42354933199816214,0.01355650721139175,0.8769980267340827,50.0,-1.2368848958684622,-10.0,0.5304333830388611,-0.7219430629069382,0.5447940324199455,0.01436064938108439,-0.017530922601184905,-0.7065963371343131,27.066359076936493,-0.34964682471014513,-10.0,0.5410049787620802,-0.80534776477949,0.5447940324199455,0.0037890536578653045,-0.016970110586630817,-0.7065963371343131,3.132076754659293,-0.16327280897421736,-10.0,0.542715956187951,-0.7043408699621088,0.5447940324199455,0.002078076231994519,-0.007711249967067691,-0.7065963371343131,0.11908818502361575,-0.02428428759638264,-7.505549727655701
1.9000000000000001,0.09428521363072843,-0.7753723287623114,0.5376420397554305,0.443356826124702,-0.017146594755788693,-0.715199266451505,50.0,-0.48674948427421605,-10.0,-0.8406345146255876,5.883848451329655,-0.49264401860841833,0.34799049601716925,0.11915264511258919,-0.3430528332083016,50.0,2.044446403335348,-10.0,0.35597233684629637,-8.073335081723506,0.021918026096486472,-0.3340543107498099,0.011023297612066002,0.8761670431117141,50.0,-0.6360959922496238,-10.0,0.5228855877324622,-0.7547795306398882,0.5376420397554305,0.01475645202296827,-0.017307880127891234,-0.715199266451505,29.17315499758042,-0.34336991154864066,-10.0,0.5315779077258971,-0.9427071036183143,0.5376420397554305,0.006064132029533376,-0.016815198555973652,-0.715199266451505,8.625330803645523,-0.24991740381130106,-10.0,0.5355797410621312,-0.7136215125819724,0.5376420397554305,0.0020622986932992138,-0.007619264828876501,-0.715199266451505,0.8893267631268401,-0.01799528088172863,-7.555032764527367
1.9100000000000001,0.09554969119170935,0.126447756098092,0.5304051471802937,0.4348554559885844,-0.012810684971512658,-0.7236892575136711,50.0,-0.34585651698103964,-10.0,-0.7716252843385113,6.900923028707625,-0.4958995128664724,0.2757257714720389,0.12121981052443881,-0.3255494258054048,50.0,1.2694079937800284,-10.0,0.24461050523207822,-11.136183161421815,0.03066585263254325,-0.21394465259953496,0.009997469402212833,0.8747826536056796,50.0,-0.194430252921225,-10.0,0.5150661765582148,-0.7819411174247378,0.5304051471802937,0.015338970622078896,-0.01707629630992797,-0.7236892575136711,31.888130903708763,-0.3539977766969635,-10.0,0.5209791329466654,-1.0598774779231679,0.5304051471802937,0.009426014233628321,-0.01661495066584505,-0.7236892575136711,18.79622396988015,-0.34673014721169365,-10.0,0.528366502860354,-0.7213238201777241,0.5304051471802937,0.0020386443199397197,-0.007526746003659332,-0.7236892575136711,0.5801111291799748,-0.032453067559641946,-7.517612937949358
1.92,0.105862530654763,1.031283946305366,0.5230844974837661,0.41722196682900303,-0.008741593697853165,-0.7320649696527681,50.0,-0.2307879463691186,-10.0,-0.6951325163518389,7.649276798667242,-0.49897881638888875,0.19615369996295018,0.12241641984420158,-0.30793035224163656,50.0,0.38686182136481023,-3.5971396933604187,0.11323813943424782,-13.13723657978304,0.03939430995880353,-0.0738438294754443,0.010572754765436693,0.8728457326260277,-50.0,0.18971375607548946,10.0,0.5070733798011045,-0.7992796757110399,0.5230844974837661,0.016011117682661613,-0.01683625716553025,-0.7320649696527681,34.397870769424756,-0.37249587359060693,-10.0,0.5095603235933229,-1.141880935334246,0.5230844974837661,0.013524173890443136,-0.016365520833407192,-0.7320649696527681,34.796714926144645,-0.43782527746619276,-10.0,0.5210585884478734,-0.7307914412480605,0.5230844974837661,0.0020259090358926146,-0.0074334077691756,-0.7320649696527681,0.41802752512092706,-0.025684135565767107,-7.563194191138897
1.93,0.12499037437170016,1.9127843716937147,0.5156812466812976,0.3906908723095974,-0.005025963411926562,-0.7403250802468508,50.0,-0.1308478456951128,-10.0,-0.6145035285668803,8.06289877849586,-0.501880835113789,0.11262269345309128,0.12273635690088291,-0.2902018724900257,-50.0,-0.6193668735656428,5.786396527136837,-0.02267871247204467,-13.59168519062925,0.04809788499454013,0.0707765974665848,0.012639689259165466,0.8703575035736593,50.0,0.7560021910678002,10.0,0.4990276765692596,-0.8045703231844832,0.5156812466812976,0.01665357011203794,-0.01658926443209142,-0.7403250802468508,37.23492187014111,-0.3817300377450005,-10.0,0.49781852628103074,-1.1741797312292193,0.5156812466812976,0.01786272040026682,-0.0160694756562816,-0.7403250802468508,50.0,-0.5079022256448333,-10.0,0.5136698988523958,-0.7388689595477651,0.5156812466812976,0.002011347828901777,-0.007339407394931805,-0.7403250802468508,0.44235580040348277,-0.00981148049639001,-7.587640642233379
1.94,0.15231597011215145,2.73255957404513,0.5081965638320116,0.35588059371986014,-0.0017404134321324736,-0.748468284928594,50.0,-0.03851811540854207,-10.0,-0.5334764416336287,8.102708693325155,-0.5046045379677379,0.028871903665890875,0.1222148050682093,-0.27237028539488506,-36.33098783256163,-1.5493981610207557,10.0,-0.15008690719461631,-12.740819472257165,0.05677108037521266,0.20685798756982898,0.015982351082089473,0.8673195380672544,50.0,1.4903402493478575,10.0,0.4910437342186545,-0.7983942350605104,0.5081965638320116,0.017152829613357123,-0.0163378967124518,-0.748468284928594,39.24864176720574,-0.3720168699920396,-10.0,0.48638075353320026,-1.1437772747830457,0.5081965638320116,0.021815810298811356,-0.015736939825815185,-0.748468284928594,50.0,-0.5606101568400003,-10.0,0.5062070539161236,-0.7462844936272146,0.5081965638320116,0.001989509915887977,-0.007244883846410205,-0.748468284928594,0.5470803284210363,-0.013967434146087553,-7.557007812886224
1.95,0.18706702090899652,3.475105079684508,0.5006316308540949,0.3135646099450984,0.0010477221593500597,-0.7564932977916716,50.0,0.006579977656296261,-10.0,-0.455499899711872,7.797654192175673,-0.507148957232081,-0.051649057520208985,0.12091854907378964,-0.2544419264343123,50.0,-2.3820591696897835,10.0,-0.2554134864913,-10.532657929668368,0.06540841792472324,0.32082190441602326,0.02024383591921654,0.8637337549510571,50.0,2.3992119530031664,10.0,0.4832069962816994,-0.783673793695509,0.5006316308540949,0.017424634572395514,-0.01608528298735829,-0.7564932977916716,39.267716863310795,-0.3982334451141936,-10.0,0.4756973618101156,-1.0683391723084625,0.5006316308540949,0.024934269043979274,-0.015380763218144545,-0.7564932977916716,50.0,-0.5985621563165097,-10.0,0.49865549609840465,-0.7551557817719007,0.5006316308540949,0.001976134755690251,-0.007149606920676112,-0.7564932977916716,0.665369180697775,-0.037591624147139825,-7.651210094884061
1.96,0.22844099070147383,4.1373969792477325,0.4929876423381604,0.26454665163668656,0.003279448977792152,-0.7643988515934508,50.0,0.021201132208321864,-10.0,-0.3839925753082955,7.150732440357648,-0.5095131888867692,-0.12552061357847372,0.11894826969396914,-0.23642316546882425,50.0,-2.8903454490040077,10.0,-0.32657335506238205,-7.115986857108206,0.07400444211554777,0.40057779717792985,0.024961212576706658,0.8596024190824558,50.0,3.2628366771841004,10.0,0.47554498725262423,-0.7662009029075155,0.4929876423381604,0.017442655085536163,-0.01583423634621218,-0.7643988515934508,38.87608742681239,-0.3801694824230363,-10.0,0.46611376693224243,-0.958359487787321,0.4929876423381604,0.026873875405917957,-0.015016188515306634,-0.7643988515934508,50.0,-0.5825274745572171,-10.0,0.4910497058396667,-0.7605790258738001,0.4929876423381604,0.0019379364984937197,-0.007054169653103795,-0.7643988515934508,0.40375752377734303,-0.009560170112159275,-7.558102768599253
1.97,0.27565748213027236,4.72164914287985,0.4852658053586066,0.20960832322833423,0.0049033672957875096,-0.7721836979553809,50.0,0.054276803165845926,-10.0,-0.32187906863411964,6.211350667417589,-0.511696392931553,-0.18981732429743337,0.11642896138425304,-0.2183204044783782,50.0,-3.142275388742093,10.0,-0.35451000069514343,-2.7936645632761383,0.0825537235145653,0.43706372420970874,0.029611216275131358,0.8549281399017561,50.0,3.8158923986014615,10.0,0.4680350001051858,-0.750998714743842,0.4852658053586066,0.0172308052534208,-0.015586828422203587,-0.7721836979553809,37.72078146659865,-0.35154376197745785,-10.0,0.4578245949658306,-0.828917196641185,0.4852658053586066,0.027441210392775972,-0.014658884691714755,-0.7721836979553809,50.0,-0.5707313651894628,-10.0,0.48334942039425266,-0.7700285445414023,0.4852658053586066,0.0019163849643539232,-0.0069580029490061155,-0.7721836979553809,0.30348432622741756,-0.013311418285243386,-7.583732241480463
1.98,0.3279871557904093,5.232967366013698,0.4774673392830072,0.1494801834925979,0.005874872394112119,-0.7798466075599364,50.0,0.04750247854910541,-10.0,-0.27117462819092847,5.0704440443191165,-0.5136977936844311,-0.24252316549350267,0.11349668532488612,-0.20014007528781352,50.0,-3.076651632559775,10.0,-0.3345357314795358,1.9974269215607618,0.09105086221240377,0.4255865936919396,0.03366733951989468,0.8497138697838469,50.0,3.7996218496299052,10.0,0.4606052549905618,-0.7429745114623985,0.4774673392830072,0.0168620842924454,-0.015343910128132892,-0.7798466075599364,36.034225180598995,-0.3305911439563357,-10.0,0.450846984738538,-0.697761022729261,0.4774673392830072,0.026620354544469205,-0.014322905043997138,-0.7798466075599364,50.0,-0.5036501242958535,-10.0,0.47556214667667057,-0.7787273717582068,0.4774673392830072,0.0019051926063366476,-0.006861078285766928,-0.7798466075599364,0.34910297756755343,-0.016277674989766126,-7.5987838279949935
1.99,0.3847349529103513,5.674779711994199,0.4695934755795579,0.08485852266920657,0.006155979649604765,-0.7873863703449335,0.0,0.0,0.0,-0.23277552213540856,3.8399106055519905,-0.5155166800572458,-0.2827411579218373,0.11028528268511255,-0.18188863728146876,0.0,0.0,0.0,-0.2671057657249895,6.742996575454628,0.09949049123413962,0.3665962569591291,0.03665900243194051,0.8439629021735839,0.0,0.0,0.0,0.4531502949245598,-0.7454960066001992,0.4695934755795579,0.016443180654998057,-0.015104928720922891,-0.7873863703449335,0.0,0.0,0.0,0.44501765386330383,-0.582933087523419,0.4695934755795579,0.024575821716254054,-0.014018853518082257,-0.7873863703449335,0.0,0.0,0.0,0.4676922232701347,-0.7869923406535858,0.4695934755795579,0.0019012523094231737,-0.006763366528607337,-0.7873863703449335,0.0,0.0,0.0
